From	To
A0QR20	hemB
I7FEY5	MSMEI_0933
A0QR24	MSMEG_0959
I7G2T0	MSMEI_0936
A0QR26	MSMEG_0962
A0QR27	MSMEG_0963
I7FXD0	MSMEI_0937
I7FEY9	MSMEI_0938
A0QR28	MSMEG_0964
I7G2T3	MSMEI_0941
A0QR31	MSMEG_0967
A0QR32	MSMEG_0968
I7FXD2	MSMEI_0942
A0QR33	hemL
I7G4H8	MSMEI_0944
A0QR34	MSMEG_0970
I7F785	MSMEI_0945
A0QR35	MSMEG_0971
A0QR37	MSMEG_0973
I7FXD5	MSMEI_0947
I7FEZ9	ccsA
A0QR38	ccsB
I7G4I1	MSMEI_0949
A0QR39	MSMEG_0975
I7F790	MSMEI_0950
A0QR40	MSMEG_0976
A0QR41	MSMEG_0977
I7G2T6	MSMEI_0951
I7FXD8	MSMEI_0952
A0QR42	MSMEG_0978
A0QR46	MSMEG_0982
I7F794	MSMEI_0955
I7FXE1	MSMEI_0957
A0QR48	MSMEG_0983
I7FF08	kgtP
